aisle_group_id,aisle_name,head_term,products,chains,min_price_eur,top_form,base_share,sample_names
1,GROENTE & FRUIT,fruithapje,28,4,0.69,bewerkt,0.00,Bonbébé Fruithapje 4+ maanden appel-perzik-banaan | Bonbébé Fruithapje 6+ maanden appel-bosbes-peer-banaan | Bonbébé Fruithapje 6+ maanden appel-peer-aardbei
1,GROENTE & FRUIT,verspakket,26,4,4.49,bewerkt,0.00,AH Kip siam verspakket | AH Teriyaki verspakket | AH Nacho's verspakket Mexicaanse stijl
1,GROENTE & FRUIT,fruitmix,22,4,1.99,vers,0.14,Wow Zakje gemixed fruit | PLUS Tropische fruitmix | Jumbo Fruitmix Watermelon Mango Blauwe Bes 175 g
1,GROENTE & FRUIT,minikrieltjes,16,4,0.69,vers,0.94,1 de Beste Minikrieltjes kleinverpakking | Jumbo Minikrieltjes Bistro 200 g | Jumbo Minikrieltjes 450 g
1,GROENTE & FRUIT,salademix,15,4,0.82,vers,0.47,PLUS Salademix kvp | Salademix | AH Salademix
1,GROENTE & FRUIT,friet,14,4,1.99,vers,1.00,AH Verse franse friet | Jumbo Verse Friet 700 g | Jumbo Verse Friet 1 kg
1,GROENTE & FRUIT,worteltjes,12,4,0.89,vers,1.00,Bonbebe Bio M0413 worteltjes | AH Snoepgroente worteltjes | Jumbo Snack Worteltjes 150 g
1,GROENTE & FRUIT,groentemix,12,4,1.65,vers,1.00,Bonduelle Mexico melange | Jumbo Groente Mix Hollandse Stijl 450 g | Jumbo Groentemix Mexicaanse Stijl 450 g
1,GROENTE & FRUIT,bloemkoolrijst,10,4,1.79,vers,1.00,1 de Beste Bloemkoolrijst | AH Bloemkoolrijst kleinverpakking | Jumbo Bloemkool Rijst 600 g
1,GROENTE & FRUIT,boerenkool,10,4,0.99,vers,1.00,Jumbo Boerenkool 450 g | Jumbo Biologisch Boerenkool 450 g | Jumbo Boerenkool Voordeelverpakking 750 g
1,GROENTE & FRUIT,sinaasappelen,9,4,2.39,vers,1.00,AH Perssinaasappelen | Jumbo Perssinaasappelen 2 kg | PLUS Handsinaasappelen
1,GROENTE & FRUIT,rauwkostsalade,9,4,1.75,bewerkt,0.00,Rauwkostsalade komkommer | Rauwkostsalade wortel-witte kool | Rauwkostsalade vier seizoenen
1,GROENTE & FRUIT,tuinbonen,9,4,0.79,vers,1.00,AH Terra Tuinbonen | Gestoofde Tuinbonen Libanees 400g | PLUS Tuinbonen
1,GROENTE & FRUIT,banaan,9,4,0.46,vers,1.00,Fyffes bananen | Olvarit 4+ Maanden Banaan | Jumbo Vriesverse Bananen Plakjes 250 g
1,GROENTE & FRUIT,shiitake,9,4,1.29,vers,1.00,Bio+ shiitake | Biologisch PLUS Shiitake biologisch | Jumbo Biologisch Shiitake 100 g
1,GROENTE & FRUIT,kikkererwten,8,4,0.85,vers,1.00,AH Terra Kikkererwten | 1 de Beste Kikkererwten | PLUS Kikkererwten
1,GROENTE & FRUIT,zoete aardappel,8,4,2.35,vers,1.00,Biologisch PLUS Zoete aardappel biologisch | zoete aardappel | AH Oranje zoete aardappel
1,GROENTE & FRUIT,winterpeen,8,4,0.39,vers,1.00,AH Winterpeen | PLUS Winterpeen | Hollandse Winterpeen
1,GROENTE & FRUIT,komkommersalade,7,4,1.00,bewerkt,0.00,PLUS Komkommersalade | AH Komkommer salade | Deense komkommersalade
