panel_slug,name_nl,department_slug,fixture_type,sort,aisle_group_ids,head_terms,products,chains,min_price_eur,top_form,sample_names,notes
zilvervliesrijst,Zilvervliesrijst,pasta-rijst-wereld,shelf,100,8,zilvervliesrijst,37,6,0.59,houdbaar,1 de Beste Zilvervliesrijst | Lassie Zilvervliesrijst | Jumbo Zilvervliesrijst 400 g,
kroepoek,Kroepoek,pasta-rijst-wereld,shelf,110,8,kroepoek,35,6,1.00,houdbaar,Go-Tan Borrelkroepoek | Conimex Kroepoek Java | Conimex Kroepoek spicy Jakarta,
penne,Penne,pasta-rijst-wereld,shelf,120,8,penne,33,6,0.77,gedroogd,Penne | 1 de Beste Penne rigate | AH Penne,
kruidenmix,Kruidenmix,soepen-sauzen-kruiden,shelf,10,10,kruidenmix,399,6,0.39,gedroogd,Kruidenmix macaroni/spaghetti | AH Burrito seasoning mix | Banderos Burrito kruidenmix,
mayonaise,Mayonaise,soepen-sauzen-kruiden,shelf,20,10,mayonaise,277,6,0.59,houdbaar,Van Wijngaarden's Zaanse mayonaise mini | 1 de Beste Mayonaise | Jumbo Mayonaise Romig 350 ML,
olijfolie,Olijfolie,soepen-sauzen-kruiden,shelf,30,10,olijfolie,205,6,1.45,houdbaar,Paolo Picos Olijfolie 150 g | Paolo Fornaccini olijfolie | 1 de Beste Olijfolie traditioneel,
pastasaus,Pastasaus,soepen-sauzen-kruiden,shelf,40,10,pastasaus,145,6,0.75,houdbaar,Casa Del Sud Pastasaus napoletana | Casa Del Sud Pastasaus | Casa del Sud pastasaus,
soep,Soep,soepen-sauzen-kruiden,shelf,50,9,soep,139,6,0.55,houdbaar,Eén kop soep | 1 de Beste 1 kop soep chinese tomaat 3 st. | Basek Soep Linzen 70g,
saus,Saus,soepen-sauzen-kruiden,shelf,60,10,saus,137,6,0.48,houdbaar,"Jumbo Mix voor Kaassaus 31,5 g | Jumbo Mix voor Peper-Roomsaus 28,5 g | Tafelsaus",
tomatensoep,Tomatensoep,soepen-sauzen-kruiden,shelf,70,9,tomatensoep,117,6,0.59,houdbaar,Jumbo Kop Tomaten Soep 3 Stuks | Knorr Cup-a-soup tomaat 3 st. | 1 de Beste Tomatensoep,
satesaus,Satésaus,soepen-sauzen-kruiden,shelf,80,10,satésaus,102,6,0.99,houdbaar,Remia Satésaus kant en klaar chinese stijl | PLUS Satésaus kant en klaar | Jumbo Satésaus Mild 200 g,
ketchup,Ketchup,soepen-sauzen-kruiden,shelf,90,10,ketchup,87,6,0.69,houdbaar,Tomatenketchup | Jumbo Tomatenketchup 500ML | AH Tomatenketchup,
woksaus,Woksaus,soepen-sauzen-kruiden,shelf,100,10,woksaus,86,6,1.45,houdbaar,Inproba Woksaus sweet & sour | AH Woksaus teriyaki | PLUS Woksaus sweet & sour,
dressing,Dressing,soepen-sauzen-kruiden,shelf,110,10,dressing,85,6,0.97,houdbaar,Calvé Caesar dressing | Calvé Dressing honing appel | Calvé Dressing Honing Mosterd 70 ml,
olijven,Olijven,soepen-sauzen-kruiden,shelf,120,9,olijven,84,6,0.79,pot,Amogusti Olijven gevuld met tonijn | Amogusti Olijven gevuld met citroen | Carbonell Olijven zonder pit,
mosterd,Mosterd,soepen-sauzen-kruiden,shelf,130,10,mosterd,82,6,0.71,houdbaar,PLUS Franse mosterd | AH Mosterd mild | Jumbo Milde Mosterd 255 g,
augurken,Augurken,soepen-sauzen-kruiden,shelf,140,9,augurken,81,6,0.91,pot,1 de Beste Augurken fijn-zoetzuur | PLUS Augurk plakjes zoetzuur | Jumbo Plakjes Augurk Zoetzuur 330 g,
chocolade,Chocolade,koek-snoep-chocolade,shelf,10,12,chocolade;chocoladereep;melkchocolade;pure chocolade;witte chocolade,1066,6,0.79,bewerkt,Alpenmelk chocolade met hazelnoot | Verkade Choco 's mores chocolade | Verkade Tops chocolade,
snoep,Snoep & zoetwaren,koek-snoep-chocolade,shelf,20,12,snoep,864,6,0.49,bewerkt,Fun | Chupa Chups Cotton bubble | Chupa Chups Crazy dips cola,
koekjes,Koekjes,koek-snoep-chocolade,shelf,30,12,koekjes;koekje;cookies;biscuit,318,6,0.71,bewerkt,Verkade Choco s'mores Kokos | Oreo Koekjes Original | Oreo Original koekjes 154g,
drop,Drop,koek-snoep-chocolade,shelf,40,12,drop,318,6,0.90,bewerkt,AH Muntendrop suikervrij | PLUS Dropmix gesuikerd | Muntendrop,
kauwgom,Kauwgom,koek-snoep-chocolade,shelf,50,12,kauwgom,296,6,0.39,bewerkt,"Fun Kauwgomballenstrip | Smartgum Spearmint | Smart Gum Pepermint met Xylitol 36 Stuks 39,6 g",
pepermunt,Pepermunt,koek-snoep-chocolade,shelf,60,12,pepermunt,77,6,0.95,bewerkt,Professional Peppermint | King Pepermunt 3 st. | Extra Spearmint,
pannenkoekenmix,Pannenkoekenmix,koek-snoep-chocolade,shelf,70,11,pannenkoekenmix,63,6,0.42,bewerkt,1 de Beste Pannenkoekenmix naturel | Bakmix voor pannenkoeken naturel | 1 de Beste Pannenkoekenmix volkoren,
snoepmix,Snoepmix,koek-snoep-chocolade,shelf,80,12,snoepmix,52,6,1.00,bewerkt,Haribo Supermix | Candyman Verrassingszakje Verrassend Lekkere Mix 52 g | PLUS Snoepmix,
bonbons,Bonbons,koek-snoep-chocolade,shelf,90,12,bonbons,50,6,1.87,bewerkt,Oreo Mini bites | Vicks Bonbons Ademvrij VapoPlus Eucalyptus Suikervrij 72 g | Fruitmix bonbons,
winegums,Winegums,koek-snoep-chocolade,shelf,100,12,winegums,40,6,1.30,bewerkt,Redband Winegums | Redband Duo winegums zoet zuur | Red Band winegums klein,
stroopwafels,Stroopwafels,koek-snoep-chocolade,shelf,110,12,stroopwafels,36,6,0.59,bewerkt,AH Stroopwafels | Stroopwafels | Bakker Joop stroopwafels,
biscuits,Biscuits,koek-snoep-chocolade,shelf,120,12,biscuits,35,6,0.59,bewerkt,Mr Mee milk cream biscuits | Theebiscuits | Jumbo Biscuits Volkoren 300 g,
crackers,Crackers,ontbijt-beleg,shelf,10,6;7;12,crackers;cracker,280,6,0.59,bewerkt,Krit Crackers | AH Dunne crackers rozemarijn geitenkaas | AH Dunne crackers vegan met groenten,
pindakaas,Pindakaas,ontbijt-beleg,shelf,20,7,pindakaas,223,6,0.87,houdbaar,Pcd Pindakaas | 1 de Beste Pindakaas | Pindakaas,
muesli,Muesli,ontbijt-beleg,shelf,30,7,muesli,155,6,1.89,houdbaar,AH Biologisch Muesli volkoren | Zuivelhoeve Boer'n muesli bosvruchten | Zuivelhoeve Boer'n muesli aardbei,
granola,Granola,ontbijt-beleg,shelf,40,7,granola,134,6,1.05,bewerkt,"Organix Just oatmeal, apricot & banana | Organix Just mango pear granola 6 maanden | Activia Fibre Mix & Go Granola Zwarte Chocolade 165g",
cruesli,Cruesli,ontbijt-beleg,shelf,50,7,cruesli,95,6,1.99,bewerkt,Jumbo Beertjes & Rings Granen 350 g | Cruesli zero | Quaker Cruesli Roodfruit,
hagelslag,Hagelslag,ontbijt-beleg,shelf,60,7,hagelslag,93,6,1.15,houdbaar,1 de Beste Gekleurde hagelslag | Jumbo Hagelslag Melk Minder Suiker 200 g | Jumbo Chocolade Hagelslag Puur 200 g,
jam,Jam,ontbijt-beleg,shelf,70,7,jam,92,6,0.68,houdbaar,1 de Beste Jam extra aardbei | g'woon Aardbei Extra Jam | AH Extra jam aardbeien,
knackebrod,Knäckebröd,ontbijt-beleg,shelf,80,6,knäckebröd,81,6,0.99,houdbaar,Fjord Knackerbrod volkoren | Bolletje Luchtig knäckebröd goudbros | Bolletje Vezelrijk knäckebröd volkoren,
honing,Honing,ontbijt-beleg,shelf,90,7,honing,81,6,1.63,vers,PLUS Bloemenhoning knijpfles | AH Honing | Jumbo Bloemenhoning 350 g,
hazelnootpasta,Hazelnootpasta,ontbijt-beleg,shelf,100,7,hazelnootpasta,75,6,1.69,houdbaar,1 de Beste Hazelnootpasta | Orinoko Hazelnootpasta | Orinoko Hazelnootpasta 350 g,
havermout,Havermout,ontbijt-beleg,shelf,110,7,havermout,67,6,0.73,houdbaar,PLUS Havermout | Molina Havermout | AH Volkoren havermout fijne vlokken,
